Match Day|MatchDate|Match Time(EST)|Match Time(WET)|Match Time(CET)|Match Time(EET)|Match Time(MSK)|Fixture|Stadium|Home Team|Home Goal|Home xg|Away Goal|Away xg|Away Team|Home SPI|Away SPI|Win Prob|Tie Prob|Loss Prob|Home Projected Goal|Away Projected Goal|Home nsxg|Away nsxg|Home Adjusted Goal|Away Adjusted Goal|Last Update Time|Stage|Status|State
1|2021/08/06|08/06/2021 14:45:00|08/06/2021 19:45:00|08/06/2021 20:45:00|08/06/2021 21:45:00|08/06/2021 21:45:00|Bournemouth vs West Brom|Vitality Stadium|Bournemouth|2|0.88|2|2.0|West Brom|59.63|49.79|0.5183|0.2431|0.2386|1.77|1.13|0.77|1.9|2.1|2.1|2022-02-13 11:05:21|REGULAR_SEASON|FULL_TIME|
1|2021/08/07|08/07/2021 10:00:00|08/07/2021 15:00:00|08/07/2021 16:00:00|08/07/2021 17:00:00|08/07/2021 17:00:00|Blackburn Rovers vs Swansea City|Ewood Park|Blackburn Rovers|2|3.6|1|0.88|Swansea City|47.56|43.76|0.4481|0.2674|0.2845|1.49|1.13|1.06|0.7|2.1|1.05|2022-02-13 11:05:21|REGULAR_SEASON|FULL_TIME|
1|2021/08/07|08/07/2021 10:00:00|08/07/2021 15:00:00|08/07/2021 16:00:00|08/07/2021 17:00:00|08/07/2021 17:00:00|Bristol City vs Blackpool|Ashton Gate|Bristol City|1|1.53|1|0.81|Blackpool|32.77|35.22|0.3866|0.2666|0.3468|1.4|1.32|0.95|0.62|1.05|1.05|2022-02-13 11:05:21|REGULAR_SEASON|FULL_TIME|
1|2021/08/07|08/07/2021 10:00:00|08/07/2021 15:00:00|08/07/2021 16:00:00|08/07/2021 17:00:00|08/07/2021 17:00:00|Cardiff City vs Barnsley|Cardiff City Stadium|Cardiff City|1|1.59|1|0.42|Barnsley|46.98|48.45|0.3939|0.2723|0.3338|1.37|1.24|1.21|0.89|1.05|1.05|2022-02-13 11:05:21|REGULAR_SEASON|FULL_TIME|
1|2021/08/07|08/07/2021 10:00:00|08/07/2021 15:00:00|08/07/2021 16:00:00|08/07/2021 17:00:00|08/07/2021 17:00:00|Derby County vs Huddersfield Town|Pride Park Stadium|Derby County|1|1.24|1|1.68|Huddersfield Town|42.16|37.13|0.4612|0.2715|0.2674|1.47|1.05|0.75|1.31|1.05|1.05|2022-02-13 11:05:21|REGULAR_SEASON|FULL_TIME|
1|2021/08/07|08/07/2021 10:00:00|08/07/2021 15:00:00|08/07/2021 16:00:00|08/07/2021 17:00:00|08/07/2021 17:00:00|Luton Town vs Peterborough United|Kenilworth Road|Luton Town|3|2.48|0|0.2|Peterborough United|39.76|34.53|0.4643|0.2707|0.265|1.48|1.05|0.86|0.33|3.13|0.0|2022-02-13 11:05:21|REGULAR_SEASON|FULL_TIME|
1|2021/08/07|08/07/2021 10:00:00|08/07/2021 15:00:00|08/07/2021 16:00:00|08/07/2021 17:00:00|08/07/2021 17:00:00|Preston North End vs Hull City|Deepdale|Preston North End|1|1.15|4|1.53|Hull City|42.62|35.29|0.4854|0.2691|0.2456|1.51|0.99|0.81|1.19|1.05|3.3|2022-02-13 11:05:21|REGULAR_SEASON|FULL_TIME|
1|2021/08/07|08/07/2021 10:00:00|08/07/2021 15:00:00|08/07/2021 16:00:00|08/07/2021 17:00:00|08/07/2021 17:00:00|Queens Park Rangers vs Millwall|Kiyan Prince Foundation Stadium|Queens Park Rangers|1|0.44|1|0.75|Millwall|45.1|41.82|0.4486|0.2561|0.2952|1.59|1.25|1.19|1.16|1.05|1.05|2022-02-13 11:05:21|REGULAR_SEASON|FULL_TIME|
1|2021/08/07|08/07/2021 10:00:00|08/07/2021 15:00:00|08/07/2021 16:00:00|08/07/2021 17:00:00|08/07/2021 17:00:00|Stoke City vs Reading|bet365 Stadium|Stoke City|3|2.3|2|0.89|Reading|46.59|44.23|0.4317|0.2787|0.2896|1.38|1.08|2.26|1.26|3.15|2.1|2022-02-13 11:05:21|REGULAR_SEASON|FULL_TIME|
1|2021/08/07|08/07/2021 15:00:00|08/07/2021 20:00:00|08/07/2021 21:00:00|08/07/2021 22:00:00|08/07/2021 22:00:00|Sheffield Utd vs Birmingham City|Bramall Lane|Sheffield Utd|0|0.73|1|1.18|Birmingham City|56.97|40.29|0.5831|0.2353|0.1816|1.83|0.91|1.5|1.57|0.0|1.05|2022-02-13 11:05:21|REGULAR_SEASON|FULL_TIME|
1|2021/08/08|08/08/2021 08:30:00|08/08/2021 13:30:00|08/08/2021 14:30:00|08/08/2021 15:30:00|08/08/2021 15:30:00|Fulham vs Middlesbrough|Craven Cottage|Fulham|1|0.9|1|0.45|Middlesbrough|62.27|44.04|0.6013|0.2255|0.1731|1.93|0.92|1.54|0.87|1.05|1.05|2022-02-13 11:05:21|REGULAR_SEASON|FULL_TIME|
1|2021/08/08|08/08/2021 11:30:00|08/08/2021 16:30:00|08/08/2021 17:30:00|08/08/2021 18:30:00|08/08/2021 18:30:00|Coventry City vs Nottingham Forest|The Coventry Building Society Arena|Coventry City|2|0.86|1|0.89|Nottingham Forest|40.11|41.64|0.3886|0.2885|0.3229|1.25|1.11|0.89|0.43|2.1|1.05|2022-02-13 11:05:21|REGULAR_SEASON|FULL_TIME|
2|2021/08/14|08/14/2021 07:30:00|08/14/2021 12:30:00|08/14/2021 13:30:00|08/14/2021 14:30:00|08/14/2021 14:30:00|Peterborough United vs Derby County|Weston Homes Stadium|Peterborough United|2|1.17|1|0.31|Derby County|32.81|41.29|0.3334|0.2796|0.3869|1.19|1.31|0.94|0.48|2.1|1.05|2022-02-13 11:05:21|REGULAR_SEASON|FULL_TIME|
2|2021/08/14|08/14/2021 10:00:00|08/14/2021 15:00:00|08/14/2021 16:00:00|08/14/2021 17:00:00|08/14/2021 17:00:00|Barnsley vs Coventry City|Oakwell|Barnsley|1|0.42|0|1.91|Coventry City|48.01|40.54|0.4878|0.2723|0.2399|1.48|0.96|0.52|1.02|1.05|0.0|2022-02-13 11:05:21|REGULAR_SEASON|FULL_TIME|
2|2021/08/14|08/14/2021 10:00:00|08/14/2021 15:00:00|08/14/2021 16:00:00|08/14/2021 17:00:00|08/14/2021 17:00:00|Birmingham City vs Stoke City|St. Andrew's Stadium|Birmingham City|0|0.7|0|0.32|Stoke City|41.78|47.61|0.3379|0.2851|0.3769|1.17|1.25|1.22|1.13|0.0|0.0|2022-02-13 11:05:21|REGULAR_SEASON|FULL_TIME|
2|2021/08/14|08/14/2021 10:00:00|08/14/2021 15:00:00|08/14/2021 16:00:00|08/14/2021 17:00:00|08/14/2021 17:00:00|Blackpool vs Cardiff City|Bloomfield Road|Blackpool|0|0.41|2|2.84|Cardiff City|34.98|47.39|0.2971|0.2633|0.4396|1.2|1.52|0.42|1.92|0.0|1.7|2022-02-13 11:05:21|REGULAR_SEASON|FULL_TIME|
2|2021/08/14|08/14/2021 10:00:00|08/14/2021 15:00:00|08/14/2021 16:00:00|08/14/2021 17:00:00|08/14/2021 17:00:00|Huddersfield Town vs Fulham|John Smith's Stadium|Huddersfield Town|1|0.46|5|2.22|Fulham|37.99|61.68|0.1818|0.2254|0.5928|0.97|1.94|0.7|1.75|1.05|4.54|2022-02-13 11:05:21|REGULAR_SEASON|FULL_TIME|
2|2021/08/14|08/14/2021 10:00:00|08/14/2021 15:00:00|08/14/2021 16:00:00|08/14/2021 17:00:00|08/14/2021 17:00:00|Hull City vs Queens Park Rangers|The MKM Stadium|Hull City|0|0.88|3|1.67|Queens Park Rangers|37.06|44.62|0.3444|0.2608|0.3948|1.36|1.47|0.85|1.39|0.0|2.86|2022-02-13 11:05:21|REGULAR_SEASON|FULL_TIME|
